timestamp_sec,latency_ms,status_code
0.14,1337,200
0.29,1376,200
0.43,1287,200
0.57,1397,200
0.72,1436,200
0.86,1474,200
1.14,1354,200
1.00,1537,200
1.57,1467,200
1.43,1609,200
1.72,1324,200
1.29,1752,200
1.86,1212,200
2.00,1193,200
2.14,1301,200
2.29,1201,200
2.43,1200,200
2.57,1244,200
2.72,1277,200
3.04,1310,200
3.04,1311,200
3.14,1206,200
3.29,1199,200
3.43,1199,200
3.57,1202,200
3.72,1297,200
3.86,1330,200
4.00,1264,200
4.43,1264,200
4.14,1550,200
4.29,1407,200
4.57,1205,200
4.72,1210,200
4.86,1210,200
5.00,1212,200
5.14,1211,200
5.29,1211,200
5.43,1211,200
5.57,1212,200
5.72,1213,200
5.86,1215,200
6.00,1215,200
6.14,1214,200
6.29,1216,200
6.43,1217,200
6.57,1218,200
6.71,1219,200
6.86,1219,200
7.00,1221,200
7.14,1220,200
7.29,1222,200
7.43,1413,200
7.57,1307,200
7.72,1227,200
7.86,1229,200
8.00,1228,200
8.14,1228,200
8.29,1229,200
8.43,1229,200
8.86,1239,200
8.57,1524,200
8.72,1381,200
9.00,1244,200
9.14,1241,200
9.29,1237,200
9.43,1238,200
9.57,1240,200
9.72,1238,200
9.86,1242,200
10.00,1503,200
10.14,1360,200
10.29,1252,200
10.43,1260,200
10.57,1427,200
10.71,1285,200
10.86,1245,200
11.00,1243,200
11.14,1244,200
11.29,1244,200
11.43,1250,200
11.72,1359,200
11.57,1502,200
11.86,1251,200
12.00,1240,200
12.14,1249,200
12.29,1247,200
12.43,1242,200
12.57,1245,200
12.72,1245,200
12.86,1245,200
13.00,1247,200
13.14,1241,200
13.29,1242,200
13.43,1243,200
13.57,1242,200
13.72,1242,200
13.86,1246,200
14.00,1242,200
14.14,1243,200
14.29,1242,200
14.43,1241,200
14.57,1243,200
14.72,1242,200
14.86,1245,200
15.00,1247,200
15.14,1244,200
15.29,1244,200
15.43,1243,200
15.57,1243,200
15.72,1242,200
15.86,1244,200
16.00,1244,200
16.14,1441,200
16.29,1339,200
16.43,1264,200
16.57,1243,200
16.72,1240,200
16.86,1241,200
17.00,1243,200
17.14,1242,200
17.29,1246,200
17.43,1246,200
17.57,1247,200
17.72,1243,200
17.86,1242,200
18.00,1246,200
18.14,1243,200
18.29,1244,200
